,___,_,"93,291","53,220","2,731",905,"8,292",79,499,36,66,22,0,655,"22,931",672,904,4,0,"2,275"
,___,_,"46,971","26,778","1,187",379,"4,233",24,227,12,30,8,0,346,"11,507",325,458,1,0,"1,456"
,___,_,"46,320","26,442","1,544",526,"4,059",55,272,24,36,14,0,309,"11,424",347,446,3,0,819
,___,_,612,240,84,143,61,12,23,7,2,1,0,0,20,0,14,0,4,1
,___,_,289,115,38,71,25,6,9,2,1,0,0,0,12,0,7,0,3,0
,___,_,323,125,46,72,36,6,14,5,1,1,0,0,8,0,7,0,1,1
,___,_,"9,460","7,561",676,287,248,16,99,28,16,9,3,16,220,8,42,0,0,231
,___,_,"4,554","3,717",272,128,109,6,41,7,8,2,1,8,99,3,23,0,0,130
,___,_,"4,906","3,844",404,159,139,10,58,21,8,7,2,8,121,5,19,0,0,101
,___,_,"4,323","1,622","1,311",385,200,39,97,20,273,11,5,4,196,2,35,0,0,123
,___,_,"1,847",763,490,160,89,15,38,5,117,2,3,1,86,0,18,0,0,60
,___,_,"2,476",859,821,225,111,24,59,15,156,9,2,3,110,2,17,0,0,63
,___,_,"1,138",245,90,143,141,21,45,376,8,0,1,11,28,6,14,0,0,9
,___,_,470,101,25,44,63,8,19,177,5,0,0,3,11,3,6,0,0,5
,___,_,668,144,65,99,78,13,26,199,3,0,1,8,17,3,8,0,0,4
,___,_,"1,362",665,170,185,133,19,18,23,18,3,2,5,80,1,15,0,1,24
,___,_,708,339,87,97,67,13,9,13,3,0,0,3,48,1,7,0,1,20
,___,_,654,326,83,88,66,6,9,10,15,3,2,2,32,0,8,0,0,4
,___,_,"1,143",565,138,156,118,17,14,20,17,1,2,3,56,1,11,0,1,23
,___,_,576,281,65,81,56,11,6,11,3,0,0,2,34,1,5,0,1,19
,___,_,567,284,73,75,62,6,8,9,14,1,2,1,22,0,6,0,0,4
,___,_,219,100,32,29,15,2,4,3,1,2,0,2,24,0,4,0,0,1
,___,_,132,58,22,16,11,2,3,2,0,0,0,1,14,0,2,0,0,1
,___,_,87,42,10,13,4,0,1,1,1,2,0,1,10,0,2,0,0,0
_____,__,_,"268,224","212,611","1,871","21,419",364,"2,644","14,446",15,"4,506",12,811,"1,499",147,986,15,0,0,"6,878"
,__,_,"130,966","103,753",825,"10,359",129,"1,293","6,955",6,"2,173",4,386,751,67,490,7,0,0,"3,768"
,__,_,"137,258","108,858","1,046","11,060",235,"1,351","7,491",9,"2,333",8,425,748,80,496,8,0,0,"3,110"
